Text,CB_Label
damn there is someones nana up here at beach with one. dont think ic an steal and get to you quickly tho ;(,0
no kidding! dick clark was a corpse mechanically operated by the advertising companies,0
i read an article on jobros and thought damn we should cash in on our jobro pokemon. Perfect stocking stuffers haha,0
"I got one fucking day of sprinkles and now it's back to sunshine and douchebaggery.""",0
I was already listening to Elliott smith  and I fucking hate kanye west. He's not a valid artist or human in my eyes,0
I told Derek to go fuck himself  Devyn told us to calm down,0
I'm watching the new Smosh video and laughing my ass off.,0
My mom didn't like Catholicism because the idea of being a sinner from birth irked her  and she loves gay people  so yeah.,0
ya i know! lol AND big thunder mountain broke down! i only got 2 ride it once! i got a ton of bad luck. i think u stole it! bitch!,0
"lucky bitch.....""",0
hate the auto DMs  there's no better way to show that you don't actually care about your followers than to put it on autopilot,0
Top Notch click!  DONT HATE hater!  u mad cuz u broke  using a playstation as a cd player.,0
question  where the fuck is my father!? he has been MIA for like two days!,0
Fair enough  will get my ass around to doing it sometime later. Your voice has changed  btw :P,0
yeah that seems like he got some bitch in him somewhere or he could be brainwashed. I got a forum right now thats going in on BEY,0
See it too A friend of mine uses acai berry but for medical purposes. {shrugs} Damn @ her being hella skinny. I may try... Maybe,0
How can you hate Hugh Laurie!?,0
... First thing I would do is go to the bathroom because I most likely piss myself.,0
Um... I hate birds. Bleech!,0
Yes. Take the damn pickles. I'm glad we've been talking virtually every possible moment. I have a feeling it will ciontinue.,0
mmm nice. problem is - i hate reading blogs in hebrew. i can read them but it takes me longer and i have ADD,0
awww. cum playz. we makin finger paintz on da wallz kinda.,0
I seriously hate insects/bugs of all kinds :( even ants... wish there was some... anti-bug thing I could stick at my door and -,0
but yeah it sucks Bl there's 25 maps and wanting to get on a specific one takes forever if you're unlucky. orz.,0
Haha  that's a long-ass tail!,0
When was the first ICS? Was Emo Jesus created yet? was prior to March 22  2007 (1st live tattoo show),0
 you whore!,0
awe man that sucks... I mean that's awesome!!,0
only if you promise to not make me look emo or like a raccoon ;},0
i'll give you a suprise if you catch up to me by christmas. Lol! Your followers would hate you :P,0
Yeah...you'd have to post exactly.........a LOT of fucking tweets a day Hahaha &lt;3,0
